YEAR,TEAM,WAB RANK,ELO,Q1 W,Q2 W,B POWER
2026,NJIT,-13.13,1155.93,,,
2026,Omaha,-13.25,1254.27,,,
2026,Abilene,-13.32,,,,
2026,Eastern Wash.,-13.35,1260.32,,,
2026,Mount St. Mary's,-13.39,,,,
2026,New,-13.5,,,,
2026,Elon,-13.52,1174.15,,,
2026,Nicholls,-13.54,1201.3,,,
2026,Prairie,-13.59,,,,
2026,South Dakota St.,-13.6,1202.77,,,
2026,Texas,-13.66,1498.37,6,1,
2026,Ark.-Pine,-13.67,,,,
2026,Jacksonville St.,-13.69,1255.26,,,
2026,Youngstown St.,-13.69,1228.31,,,
2026,Mercyhurst,-13.73,1165.39,,,
2026,Morgan St.,-13.75,,,,
2026,Charleston So.,-13.77,1456.4,,,
2026,Cal,-13.79,,,,
2026,Missouri St.,-13.81,1254.2,,,
2026,Drake,-13.86,1299.35,,,
2026,Norfolk St.,-13.95,,,,
2026,FGCU,-14.02,1222.25,,,
2026,Wagner,-14.09,1152.19,,,
2026,East,-14.13,,,,
2026,Presbyterian,-14.15,1177.81,,,
2026,UIW,-14.2,,,,
2026,UMass,-14.25,1264.62,,,
2026,Boston U.,-14.43,,,,
2026,San Jose St.,-14.43,,,,
2026,San,-14.47,,,,
2026,Le,-14.47,,,,
2026,Milwaukee,-14.56,1197.4,,,
2026,USC,-14.57,1425.07,,,
2026,Jackson St.,-14.59,,,,
2026,Lamar,-14.77,1074.78,,,
2026,Western Mich.,-14.81,1125.14,,,
2026,Brown,-14.86,1152.2,,,
2026,Tennessee,-14.88,1612.45,6,6,
2026,Bellarmine,-14.95,1158.73,,,
2026,Indiana St.,-15.01,,,,
2026,Hampton,-15.1,1183.59,,,
2026,La,-15.2,,,,
2026,Ball St.,-15.22,,,,
2026,Princeton,-15.29,1192.27,,,
2026,Idaho St.,-15.34,,,,
2026,Eastern Ill.,-15.48,1109.88,,,
2026,Eastern Mich.,-15.52,1093.56,,,
2026,Jacksonville,-15.59,1255.26,,,
2026,UNC,-15.59,,,,
2026,East Texas A&M,-15.66,1050,,,
2026,Houston,-15.69,1777.42,10,9,
2026,UTEP,-15.69,1213.69,,,
2026,Pepperdine,-15.71,1149.77,,,
2026,Chattanooga,-15.72,1185.36,,,
2026,N.C. A&T,-15.76,,,,
2026,Central Mich.,-15.83,1142.5,,,
2026,Grambling,-15.88,,,,
2026,Sacramento St.,-15.92,1060.78,,,
2026,Delaware,-15.92,1197.97,,,
2026,Sacred,-16.04,,,,
2026,NIU,-16.07,,,,
2026,Old,-16.23,,,,
2026,UC,-16.26,,,,
2026,Southern,-16.34,1221.56,,,
2026,Loyola,-16.55,,,,
2026,New,-16.75,,,,
2026,Stetson,-16.84,1117.75,,,
2026,Long Beach St.,-16.91,1131.87,,,
2026,Little,-16.99,,,,
2026,Manhattan,-17.01,1120.71,,,
2026,Eastern Ky.,-17.1,,,,
2026,Northwestern St.,-17.11,1464.22,,,
2026,Loyola,-17.3,,,,
2026,FDU,-17.38,,,,
2026,Southeastern La.,-17.42,1090.73,,,
2026,Alabama St.,-17.75,,,,
2026,Northern Ariz.,-17.76,1042.34,,,
2026,Alcorn,-17.81,,,,
2026,Louisiana,-17.83,1199.96,,,
2026,Lafayette,-17.84,1100.7,,,
2026,Evansville,-17.87,1146.79,,,
2026,North Ala.,-17.98,,,,
2026,Army,-17.98,1015.36,,,
2026,UMES,-18.02,,,,
2026,Cleveland St.,-18.02,1160.84,,,
2026,South Carolina St.,-18.06,1352.83,,,
2026,UAlbany,-18.14,,,,
2026,Stonehill,-18.17,1057.54,,,
2026,Oral,-18.22,,,,
2026,Canisius,-18.22,1061.74,,,
2026,Bryant,-18.47,1046.42,,,
2026,Georgia St.,-18.62,,,,
2026,Bucknell,-18.73,1076.15,,,
2026,Niagara,-18.89,1055.59,,,
2026,Holy,-18.91,,,,
2026,The,-19.17,,,,
2026,CSU,-19.28,,,,
2026,Delaware St.,-19.45,965.34,,,
2026,UTSA,-19.47,1047.68,,,
2026,North,-19.48,,,,
2026,Saint,-19.83,,,,
2026,Northeastern,-19.87,1077.19,,,
2026,Chicago St.,-19.91,,,,
2026,Coppin St.,-20.03,,,,
2026,Rider,-20.3,1014.65,,,
2026,Air,-20.65,,,,
2026,Southern Ind.,-20.89,986.15,,,
2026,Binghamton,-21.11,1010.69,,,
2026,IU,-21.17,,,,
2026,Maine,-21.49,1037.76,,,
2026,Kansas,-22.34,1686.32,9,7,
2026,Gardner-Webb,-22.59,960.65,,,
2026,VMI,-22.95,936.75,,,
2026,Western Ill.,-23.49,893.17,,,
2026,ULM,-23.96,918.54,,,
2026,Mississippi Val.,-25.81,1390.32,,,
