fetched_at,commence_time,home_team,away_team,bookmaker,market,team,price,point
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,betmgm,totals,Over,-115,155.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,betmgm,totals,Under,-115,155.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,fanduel,h2h,Iowa Hawkeyes,-235,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,fanduel,h2h,Ohio State Buckeyes,182,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,fanduel,spreads,Iowa Hawkeyes,-108,-5.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,fanduel,spreads,Ohio State Buckeyes,-122,5.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,fanduel,totals,Over,-120,131.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,fanduel,totals,Under,-110,131.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,draftkings,h2h,Iowa Hawkeyes,-230,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,draftkings,h2h,Ohio State Buckeyes,175,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,draftkings,spreads,Iowa Hawkeyes,-120,-3.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,draftkings,spreads,Ohio State Buckeyes,-110,3.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,draftkings,totals,Over,-115,131.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,draftkings,totals,Under,-115,131.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,pinnacle,h2h,Iowa Hawkeyes,-166,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,pinnacle,h2h,Ohio State Buckeyes,124,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,pinnacle,spreads,Iowa Hawkeyes,-120,-2.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,pinnacle,spreads,Ohio State Buckeyes,-111,2.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,pinnacle,totals,Over,-117,137.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,pinnacle,totals,Under,-113,137.5
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,betmgm,h2h,Iowa Hawkeyes,-250,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,betmgm,h2h,Ohio State Buckeyes,190,
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,betmgm,totals,Over,-115,130.5
